|,|__id,|__title,|__date,|__dateObj,|__instructor,|__onedriveLink,|__section
CS F241,1,Introduction and Handout Discussion,"Jan 29, 2025",29/01/25,Chetan Kumar,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EQDGGRXZg5RAgyW7aFxMnvAB9sSQNBzSvfxBg5X0ts5nHw?e=4Jfqc3,
,2,"Instruction Execution, Memory Operation, Types of Memory","Jan 30, 2025",30/01/25,Chetan Kumar,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EY8vl_Uz4cdFqn6Y9ykcrbMB_2OIOdV9_UFj2pLkanPRPg?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=qmClZP,
,3,"8086 Overview, Address, Data and Control Bus","Jan 31, 2025",31/01/25,Chetan Kumar,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EUnptt1nKCNBvHaFoIPCjeABNKeFNIVRN4atjo-gHhvy6A?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=oX9ED9,
,4,"8086 Internal Diagram, BIU and EU, 8086 Registers (Including Flag Reg)","Feb 1, 2025",01/02/25,Chetan Kumar,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/Ef8dWQZwQodLrrVcsNsgx2cBVnuKWiRW6wyb5Gh-Pne5fg?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=b7hzHF,
,5,"8086 Instruction Set, Addressing Modes","Feb 2, 2025",02/02/25,Chetan Kumar,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EVlQL1BjavFKlbSEGvNDO0EBhhLDFIGjEcL2vX7GSXWguw?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=Kda83z,
,6,Memory Banking in 8086,"Feb 3, 2025",03/02/25,Chetan Kumar,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EeWb3Ji04tFMnGj1SpgH0ukBF09wfK7XYuGTdu3kWvrW_w?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=zzLXp1,
,7,Segmentation And Two Examples,"Feb 4, 2025",04/02/25,Chetan Kumar,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EcCmpzjcRmJIoLUikg6M9tEBvq1gb_0d3cb-KGhSURrolg?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=YEYLFY,
,8,"Data Transfer Instructions, ALP Example","Feb 5, 2025",05/02/25,Chetan Kumar,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EUzRiBXynO1Dp3fdl142bGQBgO_s9hc_Yy1fD9DcdIDNVQ?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=hvBP42,
,9,8086 Instruction Encoding Format: MOV,"Feb 6, 2025",06/02/25,Chetan Kumar,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EQO-Rhj9TclEpqoA-YFQUPgB6_W7EdWftXb42JSgr7jTPg?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=ymKfET,
,10,"Arithmetic Instructions, ALP Examples","Feb 7, 2025",07/02/25,Chetan Kumar,https://vspkms110405-my.sharepoint.com/:v:/g/personal/rohan_vspkms110405_onmicrosoft_com/EaJGhVao-l5Kkl3GHU0CzaIBt4oTj6EkYsvFR9rrw312PA?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=eRQfct,
